origin_bandwidth_util	3.48880000000000023e-01
backup_bandwidth_util	5.72639999999999816e-01

[signal_fault_compare]
code	level	level_asil	src_ecu	dst_ecu	period_ms	copies_backup	p_fault_origin	p_fault_backup	p_threshold
4159108369	0	A	5	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
4192194994	0	A	1	0	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
4245730016	0	A	3	0	50	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2004297814	2	C	0	5	100	5	1.06919428407570294e-05	1.46784828306148739e-25	2.77777777777777774e-12
2854759111	2	C	1	5	100	3	1.06919428407570294e-05	1.28400854068081043e-15	2.77777777777777774e-12
2925594752	2	C	3	4	100	3	1.06919428407570294e-05	1.22227769085362741e-15	2.77777777777777774e-12
1148273821	2	C	1	3	50	3	1.06919428407570294e-05	1.22227769085362741e-15	1.38888888888888887e-12
1293951024	2	C	3	0	20	3	1.06919428407570294e-05	1.22227769085362741e-15	5.55555555555555589e-13
2000966795	1	B	2	0	20	3	1.06919428407570294e-05	1.22227769085362741e-15	5.55555555555555589e-13
2050449613	2	C	2	0	20	3	1.06919428407570294e-05	1.22227769085362741e-15	5.55555555555555589e-13
2113123330	2	C	4	1	20	3	1.06919428407570294e-05	1.22227769085362741e-15	5.55555555555555589e-13
3631772853	2	C	4	1	20	3	1.06919428407570294e-05	1.22227769085362741e-15	5.55555555555555589e-13
318998251	2	C	0	4	10	3	1.06919428407570294e-05	1.22227769085362741e-15	2.77777777777777795e-13
535246013
