# 跨六组信号集汇总的对比结果，便于直接复制到表格或画图脚本。
# dataset: 数据集标签，对应 M1~M6。
# scheme: foundation / baseline1 / baseline2。
# ASIL 分组指标均可直接按 dataset + scheme + asil 进行筛选或透视。

[bandwidth_utilization]
dataset	scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
msg_M3_4ecu_135signals_tab	baseline1	B	14	0.0036114285714285714	0.0083199999999999993
msg_M3_4ecu_135signals_tab	baseline1	C	13	0.0087246153846153845	0.041599999999999998
msg_M3_4ecu_135signals_tab	baseline1	D	6	0.025746666666666668	0.041599999999999998
msg_M3_4ecu_135signals_tab	baseline2	A	102	0.041667215686274454	0.111
msg_M3_4ecu_135signals_tab	baseline2	B	14	0.047136285714285721	0.086000000000000007
msg_M3_4ecu_135signals_tab	baseline2	C	13	0.074129230769230781	0.18240000000000001
msg_M3_4ecu_135signals_tab	baseline2	D	6	0.11370666666666668	0.18240000000000001
msg_M4_4ecu_170signals_tab	foundation	A	128	0.0026989375000000034	0.019800000000000002
msg_M4_4ecu_170signals_tab	foundation	B	18	0.0026715555555555551	0.0083199999999999993
msg_M4_4ecu_170signals_tab	foundation	C	16	0.0078612500000000002	0.041599999999999998
msg_M4_4ecu_170signals_tab	foundation	D	8	0.027834999999999999	0.0436
msg_M4_4ecu_170signals_tab	baseline1	A	128	0.0028270624999999997	0.019800000000000002
msg_M4_4ecu_170signals_tab	baseline1	B	18	0.0029282222222222227	0.0083199999999999993
msg_M4_4ecu_170signals_tab	baseline1	C	16	0.0080674999999999983	0.041599999999999998
msg_M4_4ecu_170signals_tab	baseline1	D	8	0.027884999999999997	0.0436
msg_M4_4ecu_170signals_tab	baseline2	A	128	0.050783093750000001	0.12727999999999995
msg_M4_4ecu_170signals_tab	baseline2	B	18	0.050435333333333318	0.11795999999999995
msg_M4_4ecu_170signals_tab	baseline2	C	16	0.079299999999999982	0.19439999999999999
msg_M4_4ecu_170signals_tab	baseline2	D	8	0.124705	0.19439999999999999
msg_M5_5ecu_200signals_tab	foundation	A	151	0.0027527152317880802	0.019800000000000002
msg_M5_5ecu_200signals_tab	foundation	B	21	0.0027725714285714285	0.00792
msg_M5_5ecu_200signals_tab	foundation	C	19	0.007286315789473685	0.041599999999999998
msg_M5_5ecu_200signals_tab	foundation	D	9	0.029142222222222222	0.0436
msg_M5_5ecu_200signals_tab	baseline1	A	151	0.0028605298013245077	0.019800000000000002
msg_M5_5ecu_200signals_tab	baseline1	B	21	0.0028868571428571428	0.0083199999999999993
msg_M5_5ecu_200signals_tab	baseline1	C	19	0.0077126315789473659	0.041599999999999998
msg_M5_5ecu_200signals_tab	baseline1	D	9	0.029164444444444444	0.0436
msg_M5_5ecu_200signals_tab	baseline2	A	151	0.061154251655629245	0.15323999999999996
msg_M5_5ecu_200signals_tab	baseline2	B	21	0.06488876190476188	0.13159999999999999
msg_M5_5ecu_200signals_tab	baseline2	C	19	0.0919578947368421	0.19439999999999999
msg_M5_5ecu_200signals_tab	baseline2	D	9	0.13948444444444444	0.23399999999999999
msg_M6_5ecu_225signals_tab	foundation	A	170	0.0027266352941176485	0.019800000000000002
msg_M6_5ecu_225signals_tab	foundation	B	24	0.0025633333333333328	0.0083199999999999993
msg_M6_5ecu_225signals_tab	foundation	C	21	0.0069180952380952362	0.041599999999999998
msg_M6_5ecu_225signals_tab	foundation	D	10	0.030188	0.0436
msg_M6_5ecu_225signals_tab	baseline1	A	170	0.0027893411764705897	0.019800000000000002
msg_M6_5ecu_225signals_tab	baseline1	B	24	0.0027975000000000001	0.0083199999999999993
msg_M6_5ecu_225signals_tab	baseline1	C	21	0.0073657142857142793	0.041599999999999998
msg_M6_5ecu_225signals_tab	baseline1	D	10	0.030207999999999995	0.0436
msg_M6_5ecu_225signals_tab	baseline2	A	170	0.076419741176470657	0.17979999999999999
msg_M6_5ecu_225signals_tab	baseline2	B	24	0.071364666666666646	0.14963999999999994
msg_M6_5ecu_225signals_tab	baseline2	C	21	0.10678666666666665	0.1764
msg_M6_5ecu_225signals_tab	baseline2	D	10	0.15385599999999999	0.27359999999999995

[fault_probability]
dataset	scheme	asil	signal_count	avg_fault_probability	max_fault_probability
msg_M1_3ecu_75signals_tab	foundation	A	56	1.1636999932049272e-08	1.3391999910327171e-08
msg_M1_3ecu_75signals_tab	foundation	B	8	1.3615970240425638e-16	1.5765062201643992e-16
msg_M1_3ecu_75signals_tab	foundation	C	7	1.3181486247625815e-16	1.7211398174152037e-16
msg_M1_3ecu_75signals_tab	foundation	D	4	1.3468712242130343e-16	1.7211398174152037e-16
msg_M1_3ecu_75signals_tab	baseline1	A	56	4.4241429272116288e-09	1.2311999924207329e-08
msg_M1_3ecu_75signals_tab	baseline1	B	8	1.4455049223943016e-16	2.0943878096900196e-16
msg_M1_3ecu_75signals_tab	baseline1	C	7	1.4801115930283851e-16	2.0943878096900196e-16
msg_M1_3ecu_75signals_tab	baseline1	D	4	1.4328932225628118e-16	1.9410062129579012e-16
msg_M1_3ecu_75signals_tab	baseline2	A	56	6.7109016756359906e-15	2.5091040356528538e-14
msg_M1_3ecu_75signals_tab	baseline2	B	8	0	0
msg_M1_3ecu_75signals_tab	baseline2	C	7	1.5860418457763725e-17	1.1102230246251565e-16
msg_M1_3ecu_75signals_tab	baseline2	D	4	1.5668545760454156e-22	6.2674183041816625e-22
msg_M2_3ecu_105signals_tab	foundation	A	79	1.220946827926336e-08	1.4471999895280609e-08
msg_M2_3ecu_105signals_tab	foundation	B	11	1.4661753857004996e-16	1.7036438176447859e-16
msg_M2_3ecu_105signals_tab	foundation	C	10	1.3375691844219546e-16	1.7036438176447859e-16
msg_M2_3ecu_105signals_tab	foundation	D	5	1.2899217452814374e-16	1.5158534213368129e-16
msg_M2_3ecu_105signals_tab	baseline1	A	79	4.8394937356085766e-09	1.4471999895280609e-08
msg_M2_3ecu_105signals_tab	baseline1	B	11	1.6295244007163409e-16	2.0943878096900196e-16
msg_M2_3ecu_105signals_tab	baseline1	C	10	1.4630738220582816e-16	2.0943878096900196e-16
msg_M2_3ecu_105signals_tab	baseline1	D	5	1.3205980646391983e-16	1.7934566159820297e-16
msg_M2_3ecu_105signals_tab	baseline2	A	79	7.7279954587515647e-15	3.2085445411667024e-14
msg_M2_3ecu_105signals_tab	baseline2	B	11	4.0371746350005693e-17	1.1102230246251565e-16
msg_M2_3ecu_105signals_tab	baseline2	C	10	3.7008382391373853e-15	3.6453270879061277e-14
msg_M2_3ecu_105signals_tab	baseline2	D	5	7.3128587578724379e-15	3.6453270879061277e-14
msg_M3_4ecu_135signals_tab	foundation	A	102	1.2296117570759849e-08	1.4471999895280609e-08
msg_M3_4ecu_135signals_tab	foundation	B	14	1.4223331371686211e-16	1.7817926161382334e-16
msg_M3_4ecu_135signals_tab	foundation	C	13	1.3020433327167627e-16	1.7817926161382334e-16
msg_M3_4ecu_135signals_tab	foundation	D	6	1.2548714258815914e-16	1.5158534213368129e-16
msg_M3_4ecu_135signals_tab	baseline1	A	102	5.1914118397295846e-09	1.4471999895280609e-08
msg_M3_4ecu_135signals_tab	baseline1	B	14	1.9442554690744176e-16	2.7662341939919932e-16
msg_M3_4ecu_135signals_tab	baseline1	C	13	1.4845400674622572e-16	2.7662341939919932e-16
msg_M3_4ecu_135signals_tab	baseline1	D	6	1.3097894248782832e-16	1.6517390187718504e-16
msg_M3_4ecu_135signals_tab	baseline2	A	102	1.3726492709360637e-14	5.6732396558345499e-14
msg_M3_4ecu_135signals_tab	baseline2	B	14	4.7580986769649563e-17	1.1102230246251565e-16
msg_M3_4ecu_135signals_tab	baseline2	C	13	2.8382584683777955e-15	3.6453270879061277e-14
msg_M3_4ecu_135signals_tab	baseline2	D	6	1.2151090404480009e-14	3.6453270879061277e-14
msg_M4_4ecu_170signals_tab	foundation	A	128	1.253559366946678e-08	1.8791999823430371e-08
msg_M4_4ecu_170signals_tab	foundation	B	18	1.43109502266618e-16	1.7817926161382334e-16
msg_M4_4ecu_170signals_tab	foundation	C	16	1.3679757738328809e-16	1.7905406160210802e-16
msg_M4_4ecu_170signals_tab	foundation	D	8	1.3367381244249339e-16	1.7905406160210802e-16
msg_M4_4ecu_170signals_tab	baseline1	A	128	4.9545000712110903e-09	1.8791999823430371e-08
msg_M4_4ecu_170signals_tab	baseline1	B	18	1.5572930202005214e-16	2.0943878096900196e-16
msg_M4_4ecu_170signals_tab	baseline1	C	16	1.4985396712005474e-16	2.0943878096900196e-16
msg_M4_4ecu_170signals_tab	baseline1	D	8	1.3613054239881918e-16	1.7934566159820297e-16
msg_M4_4ecu_170signals_tab	baseline2	A	128	2.3783926217380014e-14	1.056932319443149e-13
msg_M4_4ecu_170signals_tab	baseline2	B	18	5.5511151231257827e-17	1.1102230246251565e-16
msg_M4_4ecu_170signals_tab	baseline2	C	16	2.2922072177491443e-15	3.6453270879061277e-14
msg_M4_4ecu_170signals_tab	baseline2	D	8	1.8240513318703979e-14	3.6453270879061277e-14
msg_M5_5ecu_200signals_tab	foundation	A	151	1.2851999915522473e-08	1.8791999823430371e-08
msg_M5_5ecu_200signals_tab	foundation	B	21	1.5480127347491482e-16	1.9380902129985275e-16
msg_M5_5ecu_200signals_tab	foundation	C	19	1.3903733391710744e-16	1.9380902129985275e-16
msg_M5_5ecu_200signals_tab	foundation	D	9	1.3283870245848964e-16	1.6488230188093269e-16
msg_M5_5ecu_200signals_tab	baseline1	A	151	5.4972715889096993e-09	1.8791999823430371e-08
msg_M5_5ecu_200signals_tab	baseline1	B	21	1.5820605055261753e-16	2.0943878096900196e-16
msg_M5_5ecu_200signals_tab	baseline1	C	19	1.5809876509395971e-16	2.7662341939919932e-16
msg_M5_5ecu_200signals_tab	baseline1	D	9	1.3213238247191535e-16	1.6517390187718504e-16
msg_M5_5ecu_200signals_tab	baseline2	A	151	3.5696978853361571e-14	1.6164847238542279e-13
msg_M5_5ecu_200signals_tab	baseline2	B	21	2.6433881538694202e-17	1.1102230246251565e-16
msg_M5_5ecu_200signals_tab	baseline2	C	19	1.9244364832380946e-15	3.6453270879061277e-14
msg_M5_5ecu_200signals_tab	baseline2	D	9	2.0251817236247843e-14	3.6453270879061277e-14
msg_M6_5ecu_225signals_tab	foundation	A	170	1.2648705800466158e-08	1.8791999823430371e-08
msg_M6_5ecu_225signals_tab	foundation	B	24	1.416758022976651e-16	1.7817926161382334e-16
msg_M6_5ecu_225signals_tab	foundation	C	21	1.4106830230270673e-16	1.7782934157049557e-16
msg_M6_5ecu_225signals_tab	foundation	D	10	1.3032187050286885e-16	1.6488230188093269e-16
msg_M6_5ecu_225signals_tab	baseline1	A	170	5.1744706564815334e-09	1.8791999823430371e-08
msg_M6_5ecu_225signals_tab	baseline1	B	24	1.5508940204389742e-16	2.0943878096900196e-16
msg_M6_5ecu_225signals_tab	baseline1	C	21	1.6464346751751699e-16	2.7662341939919932e-16
msg_M6_5ecu_225signals_tab	baseline1	D	10	1.3035103050249407e-16	1.6517390187718504e-16
msg_M6_5ecu_225signals_tab	baseline2	A	170	4.4783784523909108e-14	2.2759572004815709e-13
msg_M6_5ecu_225signals_tab	baseline2	B	24	2.7755575615628914e-17	1.1102230246251565e-16
msg_M6_5ecu_225signals_tab	baseline2	C	21	1.7570171470910163e-15	3.6453270879061277e-14
msg_M6_5ecu_225signals_tab	baseline2	D	10	2.5528391845589145e-14	3.6453270879061277e-14

[added_signal_copies]
dataset	scheme	asil	signal_count	added_signal_copies
msg_M1_3ecu_75signals_tab	foundation	A	56	0
msg_M1_3ecu_75signals_tab	foundation	B	8	8
msg_M1_3ecu_75signals_tab	foundation	C	7	7
msg_M1_3ecu_75signals_tab	foundation	D	4	4
msg_M1_3ecu_75signals_tab	baseline1	A	56	35
msg_M1_3ecu_75signals_tab	baseline1	B	8	8
msg_M1_3ecu_75signals_tab	baseline1	C	7	7
msg_M1_3ecu_75signals_tab	baseline1	D	4	4
msg_M1_3ecu_75signals_tab	baseline2	A	56	0
msg_M1_3ecu_75signals_tab	baseline2	B	8	0
msg_M1_3ecu_75signals_tab	baseline2	C	7	0
msg_M1_3ecu_75signals_tab	baseline2	D	4	0
msg_M2_3ecu_105signals_tab	foundation	A	79	0
msg_M2_3ecu_105signals_tab	foundation	B	11	11
msg_M2_3ecu_105signals_tab	foundation	C	10	10
msg_M2_3ecu_105signals_tab	foundation	D	5	5
msg_M2_3ecu_105signals_tab	baseline1	A	79	49
msg_M2_3ecu_105signals_tab	baseline1	B	11	11
msg_M2_3ecu_105signals_tab	baseline1	C	10	10
msg_M2_3ecu_105signals_tab	baseline1	D	5	5
msg_M2_3ecu_105signals_tab	baseline2	A	79	0
msg_M2_3ecu_105signals_tab	baseline2	B	11	0
msg_M2_3ecu_105signals_tab	baseline2	C	10	0
msg_M2_3ecu_105signals_tab	baseline2	D	5	0
msg_M3_4ecu_135signals_tab	foundation	A	102	0
msg_M3_4ecu_135signals_tab	foundation	B	14	14
msg_M3_4ecu_135signals_tab	foundation	C	13	13
msg_M3_4ecu_135signals_tab	foundation	D	6	6
msg_M3_4ecu_135signals_tab	baseline1	A	102	60
msg_M3_4ecu_135signals_tab	baseline1	B	14	14
msg_M3_4ecu_135signals_tab	baseline1	C	13	13
msg_M3_4ecu_135signals_tab	baseline1	D	6	6
msg_M3_4ecu_135signals_tab	baseline2	A	102	0
msg_M3_4ecu_135signals_tab	baseline2	B	14	0
msg_M3_4ecu_135signals_tab	baseline2	C	13	0
msg_M3_4ecu_135signals_tab	baseline2	D	6	0
msg_M4_4ecu_170signals_tab	foundation	A	128	0
msg_M4_4ecu_170signals_tab	foundation	B	18	18
msg_M4_4ecu_170signals_tab	foundation	C	16	16
msg_M4_4ecu_170signals_tab	foundation	D	8	8
msg_M4_4ecu_170signals_tab	baseline1	A	128	80
msg_M4_4ecu_170signals_tab	baseline1	B	18	18
msg_M4_4ecu_170signals_tab	baseline1	C	16	16
msg_M4_4ecu_170signals_tab	baseline1	D	8	8
msg_M4_4ecu_170signals_tab	baseline2	A	128	0
msg_M4_4ecu_170signals_tab	baseline2	B	18	0
msg_M4_4ecu_170signals_tab	baseline2	C	16	0
msg_M4_4ecu_170signals_tab	baseline2	D	8	0
msg_M5_5ecu_200signals_tab	foundation	A	151	0
msg_M5_5ecu_200signals_tab	foundation	B	21	21
msg_M5_5ecu_200signals_tab	foundation	C	19	19
msg_M5_5ecu_200signals_tab	foundation	D	9	9
msg_M5_5ecu_200signals_tab	baseline1	A	151	87
msg_M5_5ecu_200signals_tab	baseline1	B	21	21
msg_M5_5ecu_200signals_tab	baseline1	C	19	19
msg_M5_5ecu_200signals_tab	baseline1	D	9	9
msg_M5_5ecu_200signals_tab	baseline2	A	151	0
msg_M5_5ecu_200signals_tab	baseline2	B	21	0
msg_M5_5ecu_200signals_tab	baseline2	C	19	0
msg_M5_5ecu_200signals_tab	baseline2	D	9	0
msg_M6_5ecu_225signals_tab	foundation	A	170	0
msg_M6_5ecu_225signals_tab	foundation	B	24	24
msg_M6_5ecu_225signals_tab	foundation	C	21	21
msg_M6_5ecu_225signals_tab	foundation	D	10	10
msg_M6_5ecu_225signals_tab	baseline1	A	170	100
msg_M6_5ecu_225signals_tab	baseline1	B	24	24
msg_M6_5ecu_225signals_tab	baseline1	C	21	21
msg_M6_5ecu_225signals_tab	baseline1	D	10	10
msg_M6_5ecu_225signals_tab	baseline2	A	170	0
msg_M6_5ecu_225signals_tab	baseline2	B	24	0
msg_M6_5ecu_225signals_tab	baseline2	C	21	0
msg_M6_5ecu_225signals_tab	baseline2	D	10	0
