# Worst foundation-scheme fault probability by dataset and ASIL group.
# Only ASIL B/C/D are shown because ASIL A does not carry a useful threshold here.

dataset	asil	code	max_p_fault	p_threshold	fault_to_threshold_ratio
E8S80_8ecu_80signals_005	D	6663946293502541909	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E8S120_8ecu_120signals_001	B	9235778101466159862	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S120_8ecu_120signals_001	C	1183442724201458370	2.2617598923402276e-15	1e-07	2.2617598923402277e-08
E8S120_8ecu_120signals_001	D	6880604604131800733	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S120_8ecu_120signals_002	B	6205780831841313854	1.884959917815747e-15	1e-07	1.884959917815747e-08
E8S120_8ecu_120signals_002	C	9201727288139241394	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S120_8ecu_120signals_002	D	14248490219637462120	1.7265599281751066e-15	1e-08	1.7265599281751065e-07
E8S120_8ecu_120signals_003	B	21773834595596700	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S120_8ecu_120signals_003	C	11515131060820688580	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S120_8ecu_120signals_003	D	7048136143537708539	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S120_8ecu_120signals_004	B	6455093658028039851	1.884959917815747e-15	1e-07	1.884959917815747e-08
E8S120_8ecu_120signals_004	C	11553136335412889033	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E8S120_8ecu_120signals_004	D	14096244761466812888	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S120_8ecu_120signals_005	B	12327132366069740869	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S120_8ecu_120signals_005	C	1747401632845578733	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S120_8ecu_120signals_005	D	2285058204266215526	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S150_8ecu_150signals_001	B	5367756945818261673	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S150_8ecu_150signals_001	C	2297088188612406040	1.900959917118147e-15	1e-07	1.900959917118147e-08
E8S150_8ecu_150signals_001	D	11839322507547589267	1.900959917118147e-15	1e-08	1.900959917118147e-07
E8S150_8ecu_150signals_002	B	3637126720057679605	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E8S150_8ecu_150signals_002	C	3696329278532550488	1.884959917815747e-15	1e-07	1.884959917815747e-08
E8S150_8ecu_150signals_002	D	13585905801364247823	1.884959917815747e-15	1e-08	1.8849599178157468e-07
E8S150_8ecu_150signals_003	B	16687565537378814399	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S150_8ecu_150signals_003	C	6451976987588001431	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S150_8ecu_150signals_003	D	10689152200448540265	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S150_8ecu_150signals_004	B	7692922955636558389	3.301759809818631e-15	1e-07	3.301759809818631e-08
E8S150_8ecu_150signals_004	C	5463334009274495540	1.884959917815747e-15	1e-07	1.884959917815747e-08
E8S150_8ecu_150signals_004	D	9302691132416090225	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S150_8ecu_150signals_005	B	117016953179536998	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S150_8ecu_150signals_005	C	13691887449145711937	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E8S150_8ecu_150signals_005	D	613678507060890994	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S200_8ecu_200signals_001	B	10993284664052870236	2.170559898851907e-15	1e-07	2.170559898851907e-08
E8S200_8ecu_200signals_001	C	8760069681255739637	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S200_8ecu_200signals_001	D	7598688425072126033	1.7305599280087053e-15	1e-08	1.7305599280087053e-07
E8S200_8ecu_200signals_002	B	5831097571671970894	3.301759809818631e-15	1e-07	3.301759809818631e-08
E8S200_8ecu_200signals_002	C	1313413470104029390	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S200_8ecu_200signals_002	D	10037209192218648858	2.2657598921498278e-15	1e-08	2.2657598921498278e-07
E8S200_8ecu_200signals_003	B	1753533658543303923	1.9801599116848663e-15	1e-07	1.9801599116848664e-08
E8S200_8ecu_200signals_003	C	16238877975123939177	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S200_8ecu_200signals_003	D	6035794435816983708	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S200_8ecu_200signals_004	B	5976430795565279905	1.900959917118147e-15	1e-07	1.900959917118147e-08
E8S200_8ecu_200signals_004	C	8218452678762252561	1.900959917118147e-15	1e-07	1.900959917118147e-08
E8S200_8ecu_200signals_004	D	15145215930071717459	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E8S200_8ecu_200signals_005	B	12050314185605085118	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E8S200_8ecu_200signals_005	C	492761547433137892	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E8S200_8ecu_200signals_005	D	428694477451913142	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S250_8ecu_250signals_001	B	4106827457297765073	3.301759809818631e-15	1e-07	3.301759809818631e-08
E8S250_8ecu_250signals_001	C	8449091269606220149	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E8S250_8ecu_250signals_001	D	1007426789370469157	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E8S250_8ecu_250signals_002	B	937633002691717293	3.794559766255113e-15	1e-07	3.794559766255113e-08
E8S250_8ecu_250signals_002	C	7308598871964721370	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E8S250_8ecu_250signals_002	D	17640115775686457080	3.794559766255113e-15	1e-08	3.794559766255113e-07
E8S250_8ecu_250signals_003	B	1481633727137521923	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E8S250_8ecu_250signals_003	C	8658024356444699991	2.170559898851907e-15	1e-07	2.170559898851907e-08
E8S250_8ecu_250signals_003	D	338000033654072782	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E8S250_8ecu_250signals_004	B	3316676025184047160	2.170559898851907e-15	1e-07	2.170559898851907e-08
E8S250_8ecu_250signals_004	C	12791737915579895744	1.900959917118147e-15	1e-07	1.900959917118147e-08
E8S250_8ecu_250signals_004	D	4063496604943483684	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E8S250_8ecu_250signals_005	B	13404918955030237494	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E8S250_8ecu_250signals_005	C	13683057005343935244	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E8S250_8ecu_250signals_005	D	341319157808031802	1.884959917815747e-15	1e-08	1.8849599178157468e-07
E12S50_12ecu_50signals_001	B	5236508506384364228	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_001	C	1945969907733530704	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_001	D	5909940134946906511	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S50_12ecu_50signals_002	B	6666647487303062473	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E12S50_12ecu_50signals_002	C	5782114340514012877	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_002	D	2089067077684829116	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S50_12ecu_50signals_003	B	16969053758148147441	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_003	C	9513933154007661143	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_003	D	17639904989174773954	1.7305599280087053e-15	1e-08	1.7305599280087053e-07
E12S50_12ecu_50signals_004	B	4037092578801557511	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_004	C	423943634748765830	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_004	D	3297333585912669972	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S50_12ecu_50signals_005	B	4256556185941788939	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_005	C	9896106649216484631	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S50_12ecu_50signals_005	D	1949943575091138120	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S80_12ecu_80signals_001	B	4140528778761275852	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_001	C	13495828046423915621	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_001	D	8148797265431781465	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S80_12ecu_80signals_002	B	12933646206518559562	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_002	C	237597489826521740	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_002	D	13615285989616941530	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S80_12ecu_80signals_003	B	16187984670903324529	1.813759922733826e-15	1e-07	1.813759922733826e-08
E12S80_12ecu_80signals_003	C	16856074628907109452	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_003	D	8825589936797118919	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S80_12ecu_80signals_004	B	13027576247734727973	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_004	C	6882323185167085719	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_004	D	7879757078468758300	1.7265599281751066e-15	1e-08	1.7265599281751065e-07
E12S80_12ecu_80signals_005	B	9542325052069427845	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S80_12ecu_80signals_005	C	16634964195710001646	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E12S80_12ecu_80signals_005	D	596156569206411085	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S120_12ecu_120signals_001	B	14866876717559142749	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S120_12ecu_120signals_001	C	7016178186306363934	2.079359905181187e-15	1e-07	2.0793599051811872e-08
E12S120_12ecu_120signals_001	D	7721379892677352927	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S120_12ecu_120signals_002	B	9063215084648501196	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E12S120_12ecu_120signals_002	C	6180186705931605387	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S120_12ecu_120signals_002	D	7191318509579047790	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S120_12ecu_120signals_003	B	1011759177574722473	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E12S120_12ecu_120signals_003	C	10782465359945676302	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S120_12ecu_120signals_003	D	8992018855824939784	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S120_12ecu_120signals_004	B	959445487367414400	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E12S120_12ecu_120signals_004	C	17127593192133787431	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E12S120_12ecu_120signals_004	D	5127327957609319914	1.7265599281751066e-15	1e-08	1.7265599281751065e-07
E12S120_12ecu_120signals_005	B	14744517866792455541	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S120_12ecu_120signals_005	C	1488206625552985130	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S120_12ecu_120signals_005	D	16240470950784444421	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S150_12ecu_150signals_001	B	7233016652375850882	3.301759809818631e-15	1e-07	3.301759809818631e-08
E12S150_12ecu_150signals_001	C	5067358125620095128	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E12S150_12ecu_150signals_001	D	10700298669323424888	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S150_12ecu_150signals_002	B	2371770879564801169	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E12S150_12ecu_150signals_002	C	3554131742451566302	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E12S150_12ecu_150signals_002	D	3140260558197227273	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S150_12ecu_150signals_003	B	1537929586741959271	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S150_12ecu_150signals_003	C	611590245525834047	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S150_12ecu_150signals_003	D	14001524065042967263	1.7305599280087053e-15	1e-08	1.7305599280087053e-07
E12S150_12ecu_150signals_004	B	15220160847511074185	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S150_12ecu_150signals_004	C	1772956996102354920	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S150_12ecu_150signals_004	D	17206629335626995173	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S150_12ecu_150signals_005	B	11501834429179505133	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E12S150_12ecu_150signals_005	C	14911633419543256058	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E12S150_12ecu_150signals_005	D	8707056921827096309	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S200_12ecu_200signals_001	B	408119611236216742	2.2657598921498278e-15	1e-07	2.2657598921498278e-08
E12S200_12ecu_200signals_001	C	12403556575580010787	2.2657598921498278e-15	1e-07	2.2657598921498278e-08
E12S200_12ecu_200signals_001	D	146932470176629827	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S200_12ecu_200signals_002	B	4916054557545589559	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E12S200_12ecu_200signals_002	C	1470660456272093327	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E12S200_12ecu_200signals_002	D	15783803272364179258	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E12S200_12ecu_200signals_003	B	17603200056635525535	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S200_12ecu_200signals_003	C	4643256390391724960	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S200_12ecu_200signals_003	D	5909383713474891144	1.7305599280087053e-15	1e-08	1.7305599280087053e-07
E12S200_12ecu_200signals_004	B	2905633429096253117	2.079359905181187e-15	1e-07	2.0793599051811872e-08
E12S200_12ecu_200signals_004	C	13840951382880609229	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S200_12ecu_200signals_004	D	860498037117947431	3.794559766255113e-15	1e-08	3.794559766255113e-07
E12S200_12ecu_200signals_005	B	10112858985440130247	1.6473599331171859e-15	1e-07	1.647359933117186e-08
